	disorder	class	gene_list
1458	Hypokalemic periodic paralysis	Renal	SCN4A, HYPP, NAC1A
1459	Hypolactasia, adult type	Metabolic	LCT, LAC, LPH
1460	Hypolactasia, adult type	Metabolic	MCM6
1461	Hypomagnesemia-2, renal	Renal	FXYD2, ATP1G1, HOMG2
1462	Hypomagnesemia, primary	Renal	CLDN16, PCLN1
1463	Hypomagnesemia with secondary hypocalcemia	Renal	TRPM6, CHAK2
1464	Hypoparathyroidism, autosomal dominant	Endocrine	PTH
1465	Hypoparathyroidism, autosomal recessive	Endocrine	PTH
1466	Hypoparathyroidism, familial isolated	Endocrine	GCMB
1467	Hypoparathyroidism-retardation-dysmorphism syndrome	Endocrine	TBCE, KCS, KCS1, HRD
1468	Hypoparathyroidism, sensorineural deafness, and renal dysplasia	Endocrine	GATA3, HDR
1469	Hypophosphatasia, childhood	Metabolic	ALPL, HOPS, TNSALP
1470	Hypophosphatasia, infantile	Metabolic	ALPL, HOPS, TNSALP
1471	Hypophosphatemia, type III	Metabolic	CLCN5, CLCK2, NPHL2, DENTS
1472	Hypophosphatemia, X-linked	Metabolic	PHEX, HYP, HPDR1
1473	Hypophosphatemic rickets, autosomal dominant	Bone	FGF23, ADHR, HPDR2, PHPTC
1474	Hypoplastic enamel pitting, localized	Connective tissue	ENAM
1475	Hypoplastic left heart syndrome	Cardiovascular	GJA1, CX43, ODDD, SDTY3, ODOD
1476	Hypoprothrombinemia	Hematological	F2
1477	Hypothyroidism, autoimmune	Endocrine	CTLA4
1478	Hypothyroidism, congenital	Endocrine	SLC5A5, NIS
1479	Hypothyroidism, congenital, due to DUOX2 deficiency	Endocrine	DUOX2, THOX2
1480	Hypothyroidism, congenital, due to thyroid dysgenesis or hypoplasia	Endocrine	PAX8
1481	Hypothyroidism, congenital, due to TSH resistance	Endocrine	TSHR
1482	Hypothyroidism, hereditary congenital	Endocrine	TG, AITD3
1483	Hypothyroidism, nongoitrous	Endocrine	TSHB
1484	Hypothyroidism, subclinical	Endocrine	TSHR
1485	Hypotrichosis, congential, with juvenile macular dystrophy	Dermatological	CDH3, CDHP, PCAD, HJMD
1486	Hypotrichosis, localized, autosomal recessive	Dermatological	DSG4, LAH
1487	Hypotrichosis-lymphedema-telangiectasia syndrome	Dermatological	SOX18, HLTS
1488	Hypotrichosis simplex of scalp	Dermatological	CDSN, HTSS
1489	Hypouricemia, renal	Renal	SLC22A12, OAT4L, URAT1
1490	Hystrix-like ichthyosis with deafness	multiple	GJB2, CX26, DFNB1, PPK, DFNA3, KID, HID
1491	Ichthyosiform erythroderma, congenital	Dermatological	TGM1, ICR2, LI1
1492	Ichthyosiform erythroderma, congenital, nonbullous, 1	Dermatological	ALOX12B
1493	Ichthyosiform erythroderma, congenital, nonbullous, 1	Dermatological	ALOXE3
1494	Ichthyosis bullosa of Siemens	Dermatological	KRT2A, KRT2E
1495	Ichthyosis, congenital, autosomal recessive	Dermatological	ICHYN
1496	Ichthyosis, cyclic, with epidermolytic hyperkeratosis	Dermatological	KRT10
1497	Ichthyosis, harlequin	Dermatological	ABCA12, ICR2B, LI2
1498	Ichthyosis histrix, Curth-Macklin type	Dermatological	KRT1
1499	Ichthyosis, lamellar 2	Dermatological	ABCA12, ICR2B, LI2
1500	Ichthyosis, lamellar, autosomal recessive	Dermatological	TGM1, ICR2, LI1
1501	Ichthyosis, X-linked	Dermatological	STS, ARSC1, ARSC, SSDD
1502	ICOS deficiency	Immunological	ICOS, AILIM
1503	IgE levels QTL	Immunological	PHF11, NYREN34
1504	IgG2 deficiency, selective	Immunological	IGHG2
1505	IgG receptor I, phagocytic, familial deficiency of	Immunological	FCGR1A, IGFR1, CD64
1506	Immunodeficiency-centromeric instability-facial anomalies syndrome	multiple	DNMT3B, ICF
1507	Immunodeficiency due to defect in CD3-epsilon	Immunological	CD3E
1508	Immunodeficiency due to defect in CD3-gamma	Immunological	CD3G
1509	Immunodeficiency with hyper-IgM, type 2	Immunological	AICDA, AID, HIGM2
1510	Immunodeficiency with hyper-IgM, type 3	Immunological	TNFRSF5, CD40
1511	Immunodeficiency with hyper IgM, type 4	Immunological	UNG, DGU, HIGM4
1512	Immunodeficiency, X-linked, with hyper-IgM	Immunological	TNFSF5, CD40LG, HIGM1, IGM
1513	Immunodysregulation, polyendocrinopathy, and enteropathy, X-linked	multiple	FOXP3, IPEX, AIID, XPID, PIDX
1514	Immunoglobulin A deficiency	Immunological	TNFRSF14B, TACI
1515	Inclusion body myopathy-3	Muscular	MYH2
1516	Inclusion body myopathy, autosomal recessive	Muscular	GNE, GLCNE, IBM2, DMRV, NM
1517	Inclusion body myopathy with early-onset Paget disease and frontotemporal dementia	Muscular	VCP, IBMPFD
1518	Incontinentia pigmenti, type II	Dermatological	IKBKG, NEMO, FIP3, IP2
1519	Infantile spasm syndrome	Neurological	ARX, ISSX, PRTS, MRXS1, MRX36, MRX54
1520	Infundibular hypoplasia and hypopituitarism	Endocrine	SOX3, MRGH
1521	Inosine triphosphatase deficiency	Metabolic	ITPA
1522	Insensitivity to pain, congenital, with anhidrosis	Neurological	NTRK1, TRKA, MTC
1523	Insomnia ()	Psychiatric	GABRB3
1524	Insomnia, fatal familial	Psychiatric	PRNP, PRIP
1525	Insulin resistance, severe, digenic	Metabolic	PPARG, PPARG1, PPARG2
1526	Insulin resistance, severe, digenic	Metabolic	PPP1R3A, PPP1R3
1527	Insulin resistance, susceptibility to	Metabolic	PTPN1, PTP1B
1528	Interleukin-2 receptor, alpha chain, deficiency of	Immunological	IL2RA, IL2R
1529	Intervertebral disc disease, susceptibility to	Neurological	COL9A2, EDM2
1530	Intervertebral disc disease, susceptibility to	Neurological	COL9A3, EDM3, IDD
1531	Intrauterine and postnatal growth retardation	Developmental	IGF1R
1532	Intrauterine and postnatal growth retardation	Developmental	IGF2
1533	Intrinsic factor deficiency	Hematological	GIF, IF
1534	IRAK4 deficiency	Immunological	IRAK4, REN64
1535	Iridogoniodysgenesis	Ophthamological	FOXC1, FKHL7, FREAC3
1536	Iridogoniodysgenesis syndrome-2	Ophthamological	PITX2, IDG2, RIEG1, RGS, IGDS2
1537	Iris hypoplasia and glaucoma	Ophthamological	FOXC1, FKHL7, FREAC3
1538	Iron deficiency anemia, susceptibility to	Hematological	TF
1539	Iron overload, autosomal dominant	Hematological	FTH1, FTHL6
1540	Isolated growth hormone deficiency, Illig type with absent GH and Kowarski type with bioinactive GH	Endocrine	GH1, GHN
1541	Isovaleric acidemia	Metabolic	IVD
1542	Jackson-Weiss syndrome	Skeletal	FGFR1, FLT2, KAL2
1543	Jackson-Weiss syndrome	Skeletal	FGFR2, BEK, CFD1, JWS
1544	Jensen syndrome	Neurological	TIMM8A, DFN1, DDP, MTS, DDP1
1545	Jervell and Lange-Nielsen syndrome	multiple	KCNE1, JLNS, LQT5
1546	Jervell and Lange-Nielsen syndrome	multiple	KCNQ1, KCNA9, LQT1, KVLQT1, ATFB1
1547	Joubert syndrome	multiple	NPHP1, NPH1, SLSN1
1548	Joubert syndrome-3	multiple	AHI1
1549	Juberg-Marsidi syndrome	multiple	ATRX, XH2, XNP, MRXS3, SHS
1550	Juvenile polyposis/hereditary hemorrhagic telangiectasia syndrome	Cancer	MADH4, DPC4, SMAD4, JIP
1551	Kallikrein, decreased urinary activity of	Renal	KLK1, KLKR
1552	Kallmann syndrome 2	multiple	FGFR1, FLT2, KAL2
1553	Kallmann syndrome	multiple	KAL1, KMS, ADMLX
1554	Kanzaki disease	Metabolic	NAGA
1555	Kaposi sarcoma, susceptibility to	Immunological	IL6, IFNB2, BSF2
1556	Kappa light chain deficiency	Immunological	IGKC
1557	Kartagener syndrome	multiple	DNAH11, DNAHC11
1558	Kartagener syndrome	multiple	DNAH5, HL1, PCD, CILD3
1559	Kartagener syndrome	multiple	DNAI1, CILD1, ICS, PCD
1560	Kenny-Caffey syndrome-1	multiple	TBCE, KCS, KCS1, HRD
1561	Keratitis	Ophthamological	PAX6, AN2, MGDA
1562	Keratitis-ichthyosis-deafness syndrome	multiple	GJB2, CX26, DFNB1, PPK, DFNA3, KID, HID
1563	Keratoconus	Ophthamological	VSX1, RINX, PPCD, PPD, KTCN
1564	Keratoderma, palmoplantar, with deafness	Dermatological	GJB2, CX26, DFNB1, PPK, DFNA3, KID, HID
1565	Keratosis follicularis spinulosa decalvans	Dermatological	SAT, SSAT, KFSD
1566	Keratosis palmoplantaria striata	Dermatological	KRT1
1567	Keratosis palmoplantaris striata I	Dermatological	DSG1
1568	Keratosis palmoplantaris striata II	Dermatological	DSP, KPPS2, PPKS2
1569	Keratosis palmoplantaris striata III	Dermatological	KRT1
1570	Ketoacidosis due to SCOT deficiency	Metabolic	SCOT, OXCT
1571	Keutel syndrome	multiple	MGP, NTI
1572	Kindler syndrome	Dermatological	KIND1, URP1, C20orf42
1573	Kininogen deficiency	Hematological	KNG
1574	Klippel-Trenaunay syndrome	multiple	VG5Q, HUS84971, FLJ10283
1575	Kniest dysplasia	Skeletal	COL2A1
1576	Knobloch syndrome	multiple	COL18A1, KNO
1577	Krabbe disease	Neurological	GALC
1578	L-2-hydroxyglutaric aciduria	Metabolic	L2HGDH, C14orf160
1579	Lactate dehydrogenase-B deficiency	Metabolic	LDHB
1580	Lacticacidemia due to PDX1 deficiency	Metabolic	PDX1
1581	Langer mesomelic dysplasia	Skeletal	SHOX, GCFX, SS, PHOG
1582	Langer mesomelic dysplasia	Skeletal	SHOXY
1583	Laron dwarfism	Skeletal	GHR
1584	Larson syndrome	Skeletal	FLNB, SCT, AOI
1585	Laryngoonychocutaneous syndrome	multiple	LAMA3, LOCS
1586	Lathosterolosis	Metabolic	SC5DL, ERG3
1587	LCHAD deficiency	Metabolic	HADHA, MTPA
1588	Lead poisoning, susceptibility to	Metabolic	ALAD
1589	Leanness, inherited	Nutritional	AGRP, ART, AGRT
1590	Leber congenital amaurosis	Ophthamological	CRB1, RP12
1591	Leber congenital amaurosis	Ophthamological	CRX, CORD2, CRD
1592	Leber congenital amaurosis	Ophthamological	RPGRIP1, LCA6, CORD9
1593	Leber congenital amaurosis-2	Ophthamological	RPE65, RP20
1594	Leber congenital amaurosis	Ophthamological	AIPL1, LCA4
1595	Leber congenital amaurosis, type I	Ophthamological	GUCY2D, GUC2D, LCA1, CORD6
1596	Leber congenital amaurosis, type III	Ophthamological	RDH12, LCA3
1597	Left-right axis malformations	Developmental	ACVR2B
1598	Left-right axis malformations	Developmental	EBAF, TGFB4, LEFTY2, LEFTA, LEFTYA
1599	Left ventricular noncompaction, familial isolated, 1	Cardiovascular	DTNA, D18S892E, DRP3, LVNC1
1600	Left ventricular noncompaction with congenital heart defects	Cardiovascular	DTNA, D18S892E, DRP3, LVNC1
1601	Legionaire disease, susceptibility to	Immunological	TLR5, TIL3
1602	Leigh syndrome	Neurological	BCS1L, FLNMS, GRACILE
1603	Leigh syndrome	Neurological	DLD, LAD, PHE3
1604	Leigh syndrome	Neurological	NDUFS3
1605	Leigh syndrome	Neurological	NDUFS4, AQDQ
1606	Leigh syndrome	Neurological	NDUFS7, PSST
1607	Leigh syndrome	Neurological	NDUFS8
1608	Leigh syndrome	Neurological	NDUFV1, UQOR1
1609	Leigh syndrome	Neurological	SDHA, SDH2, SDHF
1610	Leigh syndrome, due to COX deficiency	Neurological	SURF1
1611	Leigh syndrome due to cytochrome c oxidase deficiency	Neurological	COX15
1612	Leigh syndrome, French-Canadian type	Neurological	LRPPRC, LRP130, LSFC
1613	Leigh syndrome, X-linked	Neurological	PDHA1, PHE1A
1614	Leiomyomatosis and renal cell cancer	Cancer	FH
1615	Leiomyomatosis, diffuse, with Alport syndrome	Cancer	COL4A6
1616	Leopard syndrome	multiple	PTPN11, PTP2C, SHP2, NS1
1617	Leprechaunism	Developmental	INSR
1618	Leprosy, susceptibility to	Immunological	PRKN, PARK2, PDJ
1619	Leri-Weill dyschondrosteosis	Skeletal	SHOX, GCFX, SS, PHOG
1620	Leri-Weill dyschondrosteosis	Skeletal	SHOXY
1621	Lesch-Nyhan syndrome, 300322,	Metabolic	HPRT1, HPRT
1622	Leukemia-1, T-cell acute lymphocytic	Cancer	TAL1, TCL5, SCL
1623	Leukemia-2, T-cell acute lymphoblastic	Cancer	TAL2
1624	Leukemia, acute lymphoblastic	Cancer	FLT3
1625	Leukemia, acute lymphoblastic	Cancer	NBS1, NBS
1626	Leukemia, acute lymphoblastic	Cancer	ZNFN1A1, IK1, LYF1
1627	Leukemia, acute lymphoblastic, susceptibility to	Cancer	HOXD4, HOX4B
1628	Leukemia, acute lymphocytic	Cancer	BCR, CML, PHL, ALL
1629	Leukemia, acute myeloblastic	Cancer	ARNT
1630	Leukemia, acute myelogenous	Cancer	KRAS2, RASK2
1631	Leukemia, acute myelogenous	Cancer	GMPS
1632	Leukemia, acute myeloid	Cancer	AF10
1633	Leukemia, acute myeloid	Cancer	ARHGEF12, LARG, KIAA0382
1634	Leukemia, acute myeloid	Cancer	CALM, CLTH
1635	Leukemia, acute myeloid	Cancer	CEBPA, CEBP
1636	Leukemia, acute myeloid	Cancer	CHIC2, BTL
1637	Leukemia, acute myeloid	Cancer	FLT3
1638	Leukemia, acute myeloid	Cancer	KIT, PBT
1639	Leukemia, acute myeloid	Cancer	LPP
1640	Leukemia, acute myeloid	Cancer	NPM1
1641	Leukemia, acute myeloid	Cancer	NUP214, D9S46E, CAN, CAIN
1642	Leukemia, acute myeloid	Cancer	RUNX1, CBFA2, AML1
1643	Leukemia, acute myeloid	Cancer	WHSC1L1, NSD3
1644	Leukemia, acute myeloid, reduced survival in	Cancer	FLT3
1645	Leukemia, acute myelomonocytic	Cancer	AF1Q
1646	Leukemia, acute promyelocytic, NPM/RARA type	Cancer	NPM1
1647	Leukemia, acute promyelocytic, NUMA/RARA type	Cancer	NUMA1
1648	Leukemia, acute promyelocytic, PL2F/RARA type	Cancer	ZNF145, PLZF
1649	Leukemia, acute promyelocytic, PML/RARA type	Cancer	PML, MYL
1650	Leukemia, acute promyeloyctic, STAT5B/RARA type	Cancer	STAT5B
1651	Leukemia, acute T-cell lymphoblastic	Cancer	AF10
1652	Leukemia, acute T-cell lymphoblastic	Cancer	CALM, CLTH
1653	Leukemia, chronic lymphatic, susceptibility to	Cancer	ARL11, ARLTS1
1654	Leukemia, chronic lymphatic, susceptibility to	Cancer	P2RX7, P2X7
1655	Leukemia, chronic myeloid	Cancer	BCR, CML, PHL, ALL
1656	Leukemia, juvenile myelomonocytic	Cancer	GRAF
1657	Leukemia, juvenile myelomonocytic	Cancer	NF1, VRNF, WSS, NFNS
1658	Leukemia, juvenile myelomonocytic	Cancer	PTPN11, PTP2C, SHP2, NS1
1659	Leukemia/lymphoma, B-cell, 2	Cancer	BCL2
1660	Leukemia/lymphoma, chronic B-cell	Cancer	CCND1, PRAD1, BCL1
1661	Leukemia/lymphoma, T-cell	Cancer	TCRA
1662	Leukemia, megakaryoblastic, of Down syndrome	Cancer	GATA1, GF1, ERYF1, NFE1
1663	Leukemia, megakaryoblastic, with or without Down syndrome	Cancer	GATA1, GF1, ERYF1, NFE1
1664	Leukemia, Philadelphia chromosome-positive, resistant to imatinib	Cancer	ABL1
1665	Leukemia, post-chemotherapy, susceptibility to	Cancer	NQO1, DIA4, NMOR1
1666	Leukemia, T-cell acute lymphoblastic	Cancer	NUP214, D9S46E, CAN, CAIN
1667	Leukocyte adhesion deficiency	Immunological	ITGB2, CD18, LCAMB, LAD
1668	Leukoencephalopathy with vanishing white matter	Neurological	EIF2B1, EIF2BA
1669	Leukoencephalopathy with vanishing white matter	Neurological	EIF2B2
1670	Leukoencephalopathy with vanishing white matter	Neurological	EIF2B3
1671	Leukoencephalopathy with vanishing white matter	Neurological	EIF2B5, LVWM, CACH, CLE
1672	Leukoencephaly with vanishing white matter	Neurological	EIF2B4
1673	Leydig cell adenoma, with precocious puberty	Cancer	LHCGR
1674	Lhermitte-Duclos syndrome	Cancer	PTEN, MMAC1
1675	Liddle syndrome	Renal	SCNN1B
1676	Liddle syndrome	Renal	SCNN1G, PHA1
1677	Li Fraumeni syndrome	Cancer	CDKN2A, MTS1, P16, MLM, CMM2
1678	Li-Fraumeni syndrome	Cancer	TP53, P53, LFS1
1679	Li-Fraumeni syndrome	Cancer	CHEK2, RAD53, CHK2, CDS1, LFS2
1680	LIG4 syndrome	multiple	LIG4
1681	Limb-mammary syndrome	multiple	TP73L, TP63, KET, EEC3, SHFM4, LMS, RHS
1682	Lipodystrophy, congenital generalized, type 1	Metabolic	AGPAT2, LPAAB, BSCL, BSCL1
1683	Lipodystrophy, congenital generalized, type 2	Metabolic	BSCL2, SPG17
1684	Lipodystrophy, familial partial	Metabolic	LMNA, LMN1, EMD2, FPLD, CMD1A, HGPS, LGMD1B
1685	Lipodystrophy, familial partial	Metabolic	PPARG, PPARG1, PPARG2
1686	Lipodystrophy, familial partial, with decreased subcutaneous fat of face and neck	Metabolic	PPARGC1A, PPARGC1
1687	Lipoid adrenal hyperplasia	Endocrine	STAR
1688	Lipoid congenital adrenal hyperplasia	Endocrine	CYP11A, P450SCC
1689	Lipoid proteinosis	Metabolic	ECM1
1690	Lipoma	Cancer	HMGA2, HMGIC, BABL, LIPO
1691	Lipoma	Cancer	LPP
1692	Lipoma, sporadic	Cancer	MEN1
1693	Lipomatosis, mutiple	Cancer	HMGA2, HMGIC, BABL, LIPO
1694	Lipoprotein lipase deficiency	Metabolic	LPL, LIPD
1695	Lissencephaly-1	Neurological	PAFAH1B1, LIS1
1696	Lissencephaly syndrome, Norman-Roberts type	Neurological	RELN, RL
1697	Lissencephaly, X-linked	Neurological	DCX, DBCN, LISX
1698	Lissencephaly, X-linked with ambiguous genitalia	Neurological	ARX, ISSX, PRTS, MRXS1, MRX36, MRX54
1699	Listeria monocytogenes, susceptibility to	Immunological	CDH1, UVO
1700	Loeys-Dietz syndrome	Connective tissue	TGFBR1
1701	Loeys-Dietz syndrome	Connective tissue	TGFBR2, HNPCC6
1702	Longevity, exceptional	Developmental	CETP
1703	Longevity, reduced	Developmental	AKAP10
1704	Long QT syndrome-1	Cardiovascular	KCNQ1, KCNA9, LQT1, KVLQT1, ATFB1
1705	Long QT syndrome-2	Cardiovascular	KCNH2, LQT2, HERG
1706	Long QT syndrome-3	Cardiovascular	SCN5A, LQT3, IVF, HB1, SSS1
1707	Long QT syndrome 4	Cardiovascular	ANK2, LQT4
1708	Long QT syndrome-5	Cardiovascular	KCNE1, JLNS, LQT5
1709	Long QT syndrome-6	Cardiovascular	KCNE2, MIRP1, LQT6
1710	Long QT syndrome-7	Cardiovascular	KCNJ2, HHIRK1, KIR2.1, IRK1, LQT7
1711	Lower motor neuron disease, progressive, without sensory symptoms	Neurological	DCTN1
1712	Lowe syndrome	Metabolic	OCRL, LOCR, OCRL1, NPHL2
1713	Low renin hypertension, susceptibility to	Cardiovascular	CYP11B2
1714	LPA deficiency, congenital	Metabolic	LPA
1715	Lumbar disc disease, susceptibility to	Skeletal	CILP
1716	Lung cancer	Cancer	KRAS2, RASK2
1717	Lung cancer	Cancer	PPP2R1B
1718	Lung cancer	Cancer	SLC22A1L, BWSCR1A, IMPT1
1719	Lung cancer, somatic	Cancer	MAP3K8, COT, EST, TPL2
1720	Lupus nephritis, susceptibility to	Connective tissue	FCGR2A, IGFR2, CD32
1721	Lymphangioleiomyomatosis	Respiratory	TSC1, LAM
1722	Lymphangioleiomyomatosis, somatic	Respiratory	TSC2, LAM
1723	Lymphedema and ptosis	Hematological	FOXC2, FKHL14, MFH1
1724	Lymphedema-distichiasis syndrome	Hematological	FOXC2, FKHL14, MFH1
1725	Lymphedema-distichiasis syndrome with renal disease and diabetes mellitus	Hematological	FOXC2, FKHL14, MFH1
1726	Lymphedema, hereditary I	Hematological	FLT4, VEGFR3, PCL
1727	Lymphedema, hereditary II	Hematological	FOXC2, FKHL14, MFH1
1728	Lymphocytic leukemia, acute T-cell	Cancer	RAP1GDS1
1729	Lymphoma, B-cell non-Hodgkin, somatic	Cancer	ATM, ATA, AT1
1730	Lymphoma, diffuse large cell	Cancer	BCL8
1731	Lymphoma, follicular	Cancer	BCL10
1732	Lymphoma, MALT	Cancer	BCL10
1733	Lymphoma, mantle cell	Cancer	ATM, ATA, AT1
1734	Lymphoma, non-Hodgkin	Cancer	RAD54B
1735	Lymphoma, non-Hodgkin	Cancer	RAD54L, HR54, HRAD54
1736	Lymphoma, progression of	Cancer	FCGR2B, CD32
1737	Lymphoma, somatic	Cancer	MAD1L1, TXBP181
1738	Lymphoma, T-cell	Cancer	MSH2, COCA1, FCC1, HNPCC1
1739	Lymphoproliferative syndrome, X-linked	Cancer	SH2D1A, LYP, IMD5, XLP, XLPD
1740	Lynch cancer family syndrome II	Cancer	MSH2, COCA1, FCC1, HNPCC1
1741	Lysinuric protein intolerance	Metabolic	SLC7A7, LPI
1742	Machado-Joseph disease	Neurological	ATXN3, MJD, SCA3
1743	Macrocytic anemia, refractory, of 5q- syndrome	Hematological	IRF1, MAR
1744	Macrothrombocytopenia	Hematological	GATA1, GF1, ERYF1, NFE1
1745	Macular corneal dystrophy	Ophthamological	CHST6, MCDC1
1746	Macular degeneration, age-related, 1	Ophthamological	HF1, CFH, HUS
1747	Macular degeneration, age-related, 1	Ophthamological	HMCN1, FBLN6, FIBL6
1748	Macular degeneration, age-related, 3	Ophthamological	FBLN5, ARMD3
1749	Macular degeneration, juvenile	Ophthamological	CNGB3, ACHM3
1750	Macular degeneration, X-linked atrophic	Ophthamological	RPGR, RP3, CRD, RP15, COD1
1751	Macular dystrophy	Ophthamological	RDS, RP7, PRPH2, PRPH, AVMD, AOFMD
1752	Macular dystrophy, age-related, 2	Ophthamological	ABCA4, ABCR, STGD1, FFM, RP19
1753	Macular dystrophy, autosomal dominant, chromosome 6-linked	Ophthamological	ELOVL4, ADMD, STGD2, STGD3
1754	Macular dystrophy, vitelliform	Ophthamological	RDS, RP7, PRPH2, PRPH, AVMD, AOFMD
1755	Macular dystrophy, vitelliform type	Ophthamological	VMD2
1756	Maculopathy, bull's-eye	Ophthamological	VMD2
1757	Major depressive disorder and accelerated response to antidepressant drug treatment	Psychiatric	FKBP5, FKBP51
1758	Malaria, cerebral, reduced risk of	Immunological	CD36
1759	Malaria, cerebral, susceptibility to	Immunological	CD36
1760	Malaria, cerebral, susceptibility to	Immunological	ICAM1
1761	Malaria, cerebral, susceptibility to	Immunological	TNF, TNFA
1762	Malaria, resistance to	Immunological	GYPC, GE, GPC
1763	Malaria, resistance to	Immunological	NOS2A, NOS2
1764	Malignant hyperthermia susceptibility 1	Neurological	RYR1, MHS, CCO
1765	Malignant hyperthermia susceptibility 5	Neurological	CACNA1S, CACNL1A3, CCHL1A3
1766	Malonyl-CoA decarboxylase deficiency	Metabolic	MLYCD, MCD
1767	MALT lymphoma	Cancer	MALT1, MLT
1768	Mandibuloacral dysplasia with type B lipodystrophy	multiple	ZMPSTE24, FACE1, STE24, MADB
1769	Mannosidosis, alpha-, types I and II	Metabolic	MAN2B1, MANB
1770	Mannosidosis, beta	Metabolic	MANBA, MANB1
1771	Maple syrup urine disease, type Ia	Metabolic	BCKDHA, MSUD1
1772	Maple syrup urine disease, type Ib	Metabolic	BCKDHB, E1B
1773	Maple syrup urine disease, type II	Metabolic	DBT, BCATE2
1774	Maple syrup urine disease, type III	Metabolic	DLD, LAD, PHE3
1775	Marfan syndrome	Connective tissue	FBN1, MFS1, WMS
1776	Marfan syndrome, atypical	Connective tissue	COL1A2
1777	Maroteaux-Lamy syndrome, several forms	Metabolic	ARSB, MPS6
1778	Marshall syndrome	multiple	COL11A1, STL2
1779	MASA syndrome	multiple	L1CAM, CAML1, HSAS1
1780	MASP2 deficiency	Immunological	MASP2
1781	MASS syndrome	Connective tissue	FBN1, MFS1, WMS
1782	Mast cell leukemia	Cancer	KIT, PBT
1783	Mastocytosis with associated hematologic disorder	Immunological	KIT, PBT
1784	Mast syndrome	Neurological	ACP33, MAST, SPG21
1785	May-Hegglin anomaly	Hematological	MYH9, MHA, FTNS, DFNA17
1786	McArdle disease	Metabolic	PYGM
1787	McCune-Albright syndrome	multiple	GNAS, GNAS1, GPSA, POH, PHP1B, PHP1A, AHO
1788	McKusick-Kaufman syndrome	Developmental	MKKS, HMCS, KMS, MKS, BBS6
1789	McLeod syndrome	Hematological	XK
1790	McLeod syndrome with neuroacanthosis	Hematological	XK
1791	Medullary cystic kidney disease 2	Renal	UMOD, HNFJ, FJHN, MCKD2, ADMCKD2
1792	Medullary thyroid carcinoma	Cancer	RET, MEN2A
1793	Medullary thyroid carcinoma, familial	Cancer	NTRK1, TRKA, MTC
1794	Medulloblastoma	Cancer	PTCH2
1795	Medulloblastoma, desmoplastic	Cancer	SUFU, SUFUXL, SUFUH
1796	Meesmann corneal dystrophy	Ophthamological	KRT12
1797	Meesmann corneal dystrophy	Ophthamological	KRT3
1798	Megakaryoblastic leukemia, acute	Cancer	MKL1, AMKL, MAL
1799	Megalencephalic leukoencephalopathy with subcortical cysts	Neurological	MLC1, LVM, VL
1800	Megaloblastic anemia-1, Finnish type	Hematological	CUBN, IFCR, MGA1
1801	Megaloblastic anemia-1, Norwegian type	Hematological	AMN
1802	Melanoma	Cancer	CDK4, CMM3
1803	Melanoma and neural system tumor syndrome	Cancer	CDKN2A, MTS1, P16, MLM, CMM2
1804	Melanoma, cutaneous malignant, 2	Cancer	CDKN2A, MTS1, P16, MLM, CMM2
1805	Melanoma, cutaneous malignant, susceptibility to	Cancer	XRCC3
1806	Melanoma, malignant sporadic	Cancer	STK11, PJS, LKB1
1807	Melanoma, melignant, somatic	Cancer	BRAF
1808	Meleda disease	Dermatological	SLURP1, MDM
1809	Melnick-Needles syndrome	Skeletal	FLNA, FLN1, ABPX, NHBP, OPD1, OPD2, FMD, MNS
1810	Melorheostosis with osteopoikilosis	Developmental	LEMD3, MAN1
1811	Memory impairment, susceptibility to	Neurological	BDNF
1812	Meniere disease 156000 ()	Neurological	COCH, DFNA9
1813	Meningioma	Cancer	MN1, MGCR
1814	Meningioma	Cancer	PTEN, MMAC1
1815	Meningioma, NF2-related, somatic	Cancer	NF2
1816	Meningioma, SIS-related	Cancer	PDGFB, SIS
1817	Meningococcal disease, susceptibility to	Immunological	MBL2, MBL, MBP1
1818	Menkes disease	Neurological	ATP7A, MNK, MK, OHS
1819	Mental retardation, nonsyndromic, autosomal recessive	Neurological	PRSS12, BSSP3
1820	Mental retardation, nonsyndromic, autosomal recessive, 2A	Neurological	CRBN, MRT2A
1821	Mental retardation, X-linked	Neurological	NLGN4, KIAA1260, AUTSX2
1822	Mental retardation, X-linked	Neurological	MECP2, RTT, PPMX, MRX16, MRX79
1823	Mental retardation, X-linked 30	Neurological	PAK3, MRX30, MRX47
1824	Mental retardation, X-linked, 34	Neurological	IL1RAPL, MRX34
1825	Mental retardation, X-linked 36	Neurological	ARX, ISSX, PRTS, MRXS1, MRX36, MRX54
1826	Mental retardation, X-linked	Neurological	SLC6A8, CRTR
1827	Mental retardation, X-linked-44	Neurological	FTSJ1, JM23, SPB1, MRX44, MRX9
1828	Mental retardation, X-linked 45	Neurological	ZNF81, MRX45
1829	Mental retardation, X-linked 54	Neurological	ARX, ISSX, PRTS, MRXS1, MRX36, MRX54
1830	Mental retardation, X-linked 58	Neurological	TM4SF2, MXS1, A15
1831	Mental retardation, X-linked, 60	Neurological	OPHN1
1832	Mental retardation, X-linked-9	Neurological	FTSJ1, JM23, SPB1, MRX44, MRX9
1833	Mental retardation, X-linked, FRAXE type	Neurological	FMR2, FRAXE, MRX2
1834	Mental retardation, X-linked, JARID1C-related	Neurological	SMCX, MRXJ, DXS1272E, XE169, JARID1C
1835	Mental retardation, X-linked nonspecific	Neurological	GDI1, RABGD1A, MRX41, MRX48
